"indiv_id","sexF","consY","land","cattle51plus","smlstk101plus","buildingsMud","buildingsIron","vehicle","ageset2","ageset3","ageset4","educated","settlementYears","hhsize","olmareiHead","leadership"
121,1,1,20,0,0,1,0,0,0,0,0,0,23,5,0,0
122,1,0,55,1,1,1,1,0,0,0,0,0,7,2,0,0
123,1,0,70,1,1,1,1,0,0,0,0,0,10,4,1,0
124,1,0,45,0,0,1,1,0,0,0,0,0,3,2,0,0
125,1,0,35,1,1,1,0,0,0,0,0,0,27,3,1,0
126,1,0,36,1,1,1,1,1,0,0,0,0,4,8,0,0
127,1,0,36,0,0,1,0,0,0,0,0,0,4,4,1,0
128,1,0,36,0,0,1,0,1,0,0,0,0,2,2,0,0
129,1,0,36,0,1,1,0,1,0,0,0,0,5,5,1,0
130,1,0,25,1,1,2,1,0,0,0,0,0,3,8,0,0
131,1,0,36,0,1,1,1,0,0,0,0,0,4,6,0,1
132,0,1,175,0,0,0,2,0,0,0,0,0,56,6,1,0
133,0,1,53,0,1,2,1,1,0,0,0,0,29,12,1,1
134,0,1,100,0,0,1,2,0,0,0,0,0,36,8,1,0
135,0,1,200,1,1,1,3,0,0,0,0,0,3,9,1,0
136,0,1,170,1,1,2,2,1,0,0,0,0,7,11,1,0
137,0,1,76,1,0,0,3,1,0,0,0,1,30,12,1,1
138,0,1,33,1,0,2,0,0,0,0,0,0,26,12,1,0
139,0,1,165,0,1,1,2,1,0,0,0,0,39,8,1,1
140,0,1,87,0,0,2,2,0,0,0,0,0,35,10,1,0
141,0,1,150,1,1,2,0,0,0,0,0,0,42,12,1,0
142,1,1,230,1,1,0,1,1,0,0,0,0,15,9,0,1
143,1,1,275,0,0,1,0,0,0,1,0,0,12,10,0,0
144,1,1,150,0,0,0,1,0,0,0,0,0,7,6,0,0
145,1,1,116,0,0,1,0,0,1,0,0,0,29,9,0,0
146,1,1,150,0,0,0,1,0,0,0,0,0,34,7,0,0
147,1,1,150,0,0,1,0,1,0,1,0,0,32,6,0,0
148,1,1,55,1,0,0,1,0,0,0,0,0,6,5,0,1
149,1,1,210,1,0,0,2,1,0,1,0,0,20,11,0,1
150,1,1,161,1,1,1,1,0,0,0,0,0,30,6,0,1
151,1,1,154,0,0,0,1,0,0,0,0,0,18,5,0,0
152,0,1,170,1,1,1,2,1,0,0,0,0,30,9,1,1
153,0,1,224,1,0,2,2,0,0,1,0,0,38,9,1,0
154,0,1,140,0,0,1,1,0,0,1,0,0,31,11,1,0
155,0,1,50,0,0,1,1,1,0,0,0,0,21,7,1,0
156,0,1,170.5,1,1,2,1,0,0,1,0,0,38,16,1,0
157,0,1,340,1,1,2,3,1,0,0,1,0,38,20,1,0
158,0,1,232,1,1,4,4,1,0,1,0,0,48,16,1,1
159,0,1,150,0,1,1,1,0,0,0,0,0,35,6,1,0
160,0,1,60,0,0,1,1,0,0,0,0,0,24,6,1,1
161,0,1,261,1,1,1,3,1,0,1,0,0,44,14,1,1
162,1,1,160,1,1,1,1,1,0,1,0,0,22,6,0,0
163,1,1,88,0,1,1,0,0,0,0,0,0,27,6,0,0
164,1,1,115,0,0,1,0,0,0,0,1,0,23,7,0,1
165,1,1,150,0,0,1,0,0,0,0,1,0,27,8,0,0
166,1,1,120,0,0,0,1,1,0,0,0,1,8,5,0,1
167,1,1,125,0,0,0,1,0,0,0,0,1,13,4,0,1
168,1,1,150,0,0,0,1,0,0,1,0,0,9,6,0,0
169,1,1,150,0,0,0,1,0,0,0,0,0,12,6,0,0
170,1,1,150,0,0,1,0,0,0,1,0,0,7,7,0,0
171,1,1,125,0,0,1,1,0,0,1,0,0,13,4,0,0
172,1,0,42,0,1,1,0,1,0,1,0,0,4,9,0,0
173,1,0,42,0,1,1,1,0,0,0,0,0,6,4,1,0
174,1,0,50,1,1,1,2,1,0,1,0,0,10,8,0,1
175,1,0,36,0,0,0,1,1,0,1,0,0,40,10,0,1
176,1,0,42,0,1,1,0,1,0,0,0,0,4,4,1,0
177,1,0,40,0,0,1,1,0,0,0,0,0,6,9,0,0
178,1,0,100,1,1,1,1,1,0,0,0,0,7,5,0,0
179,1,0,50,1,1,1,1,0,0,1,0,0,10,9,0,0
180,1,0,36,0,0,1,0,0,0,1,0,0,6,6,0,0
181,1,0,42,1,0,1,1,0,0,0,0,0,3,4,1,0
182,0,0,29,0,0,0,1,0,0,0,0,1,25,9,1,1
183,0,0,30,0,0,1,1,0,0,0,0,0,26,14,0,0
184,0,0,30,0,1,1,1,0,0,1,0,0,40,16,1,0
185,0,0,160,1,1,2,2,0,0,0,0,0,42,14,1,0
186,0,0,30,1,1,3,1,0,0,0,0,0,44,16,1,0
187,0,0,110,1,1,0,2,1,0,0,0,0,26,9,1,0
188,0,0,30,0,0,1,0,0,0,0,0,0,30,7,1,0
189,0,0,40,0,0,1,0,0,0,0,0,0,20,7,1,0
190,0,0,300,1,1,0,1,0,0,0,0,1,13,8,0,0
191,0,0,110,1,1,6,2,0,0,0,0,0,34,15,0,1
192,1,1,150,0,0,0,1,1,0,0,0,1,4,5,0,0
193,1,1,170,0,0,0,2,1,0,1,0,1,11,8,0,1
194,1,1,160,0,0,0,2,1,0,1,0,1,27,6,0,1
195,1,1,160,0,0,0,1,0,0,0,1,1,21,7,0,0
196,1,1,170,0,0,0,1,1,0,0,0,1,5,6,0,0
197,1,1,60,0,0,1,0,0,0,0,1,0,22,6,0,1
198,1,1,60,0,0,1,1,0,0,0,1,0,32,4,0,1
199,1,1,250,0,0,0,1,1,0,0,1,1,18,8,0,0
200,1,1,120,0,0,0,1,0,0,0,0,0,27,6,0,0
201,1,1,170,0,0,1,0,0,0,0,1,0,17,5,0,0
202,0,0,34,0,0,2,0,0,0,0,0,0,13,18,1,0
203,0,0,25,0,0,2,1,0,0,0,0,1,25,11,1,0
204,0,0,34,0,0,2,0,0,0,1,0,0,38,11,1,1
205,0,0,70,0,0,0,0,0,0,0,0,1,21,6,0,0
206,0,0,140,0,1,1,0,0,0,0,0,1,28,6,0,0
207,0,0,70,0,0,2,0,0,0,0,0,0,20,19,1,0
