"choice","access","cattle","cons150","cons75","cult","smlstk","wage","indiv_id","choice_id"
0,-1,0,1,-1,0,0,-10000,340,7
0,0,-40,-1,1,-5,0,-4000,341,13
1,1,0,-1,0,0,-200,0,341,15
1,1,100,0,1,0,-200,0,341,16
1,1,0,1,-1,5,0,-6000,341,11
1,0,60,1,0,0,120,0,341,12
0,1,-60,0,-1,0,0,6000,341,10
0,0,-60,-1,1,-5,0,4000,341,14
0,0,60,0,-1,-5,80,4000,341,9
1,1,0,-1,0,0,-200,0,342,15
1,1,-60,0,-1,0,0,6000,342,10
0,0,60,1,0,0,120,0,342,12
1,1,100,0,1,0,-200,0,342,16
0,1,0,1,-1,5,0,-6000,342,11
1,0,-40,-1,1,-5,0,-4000,342,13
0,0,60,0,-1,-5,80,4000,342,9
1,0,-60,-1,1,-5,0,4000,342,14
1,-1,-40,0,0,5,0,0,343,3
0,-1,100,0,0,0,0,-4000,343,2
1,0,40,1,0,0,80,10000,343,5
0,-1,-100,0,-1,0,200,0,343,8
0,-1,0,1,-1,0,0,-10000,343,7
0,0,-60,-1,1,5,0,0,343,1
1,0,0,0,1,5,0,-10000,343,6
0,0,0,0,0,-5,-80,10000,343,4
0,1,-60,0,-1,0,0,6000,344,10
1,0,60,1,0,0,120,0,344,12
1,1,0,-1,0,0,-200,0,344,15
0,1,100,0,1,0,-200,0,344,16
0,1,0,1,-1,5,0,-6000,344,11
0,0,-40,-1,1,-5,0,-4000,344,13
0,0,60,0,-1,-5,80,4000,344,9
0,0,-60,-1,1,-5,0,4000,344,14
0,-1,0,1,-1,0,0,-10000,345,7
0,-1,100,0,0,0,0,-4000,345,2
1,0,40,1,0,0,80,10000,345,5
1,0,-60,-1,1,5,0,0,345,1
1,0,0,0,1,5,0,-10000,345,6
1,0,0,0,0,-5,-80,10000,345,4
0,-1,-100,0,-1,0,200,0,345,8
1,-1,-40,0,0,5,0,0,345,3
0,1,-60,0,-1,0,0,6000,346,10
0,1,0,1,-1,5,0,-6000,346,11
1,0,60,1,0,0,120,0,346,12
0,0,-40,-1,1,-5,0,-4000,346,13
1,0,60,0,-1,-5,80,4000,346,9
0,0,-60,-1,1,-5,0,4000,346,14
1,1,0,-1,0,0,-200,0,346,15
1,1,100,0,1,0,-200,0,346,16
0,-1,0,1,-1,0,0,-10000,347,7
1,0,40,1,0,0,80,10000,347,5
1,0,-60,-1,1,5,0,0,347,1
0,-1,100,0,0,0,0,-4000,347,2
1,0,0,0,1,5,0,-10000,347,6
0,0,0,0,0,-5,-80,10000,347,4
0,-1,-100,0,-1,0,200,0,347,8
0,-1,-40,0,0,5,0,0,347,3
1,0,0,0,1,5,0,-10000,348,6
0,0,0,0,0,-5,-80,10000,348,4
0,-1,-40,0,0,5,0,0,348,3
1,0,40,1,0,0,80,10000,348,5
0,-1,0,1,-1,0,0,-10000,348,7
1,-1,100,0,0,0,0,-4000,348,2
0,-1,-100,0,-1,0,200,0,348,8
0,0,-60,-1,1,5,0,0,348,1
0,1,0,1,-1,5,0,-6000,349,11
1,1,100,0,1,0,-200,0,349,16
1,0,-60,-1,1,-5,0,4000,349,14
0,0,60,1,0,0,120,0,349,12
1,0,-40,-1,1,-5,0,-4000,349,13
0,1,-60,0,-1,0,0,6000,349,10
0,0,60,0,-1,-5,80,4000,349,9
1,1,0,-1,0,0,-200,0,349,15
0,0,0,0,0,-5,-80,10000,350,4
0,-1,-40,0,0,5,0,0,350,3
1,-1,100,0,0,0,0,-4000,350,2
1,0,0,0,1,5,0,-10000,350,6
1,0,-60,-1,1,5,0,0,350,1
1,0,40,1,0,0,80,10000,350,5
0,-1,0,1,-1,0,0,-10000,350,7
1,-1,-100,0,-1,0,200,0,350,8
1,0,-60,-1,1,-5,0,4000,351,14
0,0,60,1,0,0,120,0,351,12
0,1,-60,0,-1,0,0,6000,351,10
1,0,60,0,-1,-5,80,4000,351,9
1,0,-40,-1,1,-5,0,-4000,351,13
0,1,0,1,-1,5,0,-6000,351,11
0,1,100,0,1,0,-200,0,351,16
1,1,0,-1,0,0,-200,0,351,15
0,-1,100,0,0,0,0,-4000,352,2
0,-1,0,1,-1,0,0,-10000,352,7
0,0,-60,-1,1,5,0,0,352,1
0,-1,-40,0,0,5,0,0,352,3
0,-1,-100,0,-1,0,200,0,352,8
1,0,0,0,0,-5,-80,10000,352,4
1,0,40,1,0,0,80,10000,352,5
1,0,0,0,1,5,0,-10000,352,6
0,0,-60,-1,1,5,0,0,353,1
1,0,40,1,0,0,80,10000,353,5
0,-1,0,1,-1,0,0,-10000,353,7
0,0,0,0,0,-5,-80,10000,353,4
1,0,0,0,1,5,0,-10000,353,6
0,-1,-100,0,-1,0,200,0,353,8
1,-1,100,0,0,0,0,-4000,353,2
0,-1,-40,0,0,5,0,0,353,3
1,0,40,1,0,0,80,10000,354,5
0,-1,-100,0,-1,0,200,0,354,8
0,-1,-40,0,0,5,0,0,354,3
1,0,-60,-1,1,5,0,0,354,1
1,-1,100,0,0,0,0,-4000,354,2
1,0,0,0,1,5,0,-10000,354,6
0,-1,0,1,-1,0,0,-10000,354,7
0,0,0,0,0,-5,-80,10000,354,4
0,0,-60,-1,1,-5,0,4000,355,14
1,0,60,0,-1,-5,80,4000,355,9
1,0,60,1,0,0,120,0,355,12
1,1,-60,0,-1,0,0,6000,355,10
1,1,100,0,1,0,-200,0,355,16
0,0,-40,-1,1,-5,0,-4000,355,13
0,1,0,-1,0,0,-200,0,355,15
0,1,0,1,-1,5,0,-6000,355,11
0,0,60,0,-1,-5,80,4000,356,9
1,1,100,0,1,0,-200,0,356,16
0,0,-40,-1,1,-5,0,-4000,356,13
0,1,-60,0,-1,0,0,6000,356,10
1,1,0,1,-1,5,0,-6000,356,11
1,0,60,1,0,0,120,0,356,12
0,0,-60,-1,1,-5,0,4000,356,14
1,1,0,-1,0,0,-200,0,356,15
0,0,0,0,0,-5,-80,10000,357,4
0,-1,-100,0,-1,0,200,0,357,8
1,0,0,0,1,5,0,-10000,357,6
0,-1,-40,0,0,5,0,0,357,3
1,0,40,1,0,0,80,10000,357,5
1,-1,100,0,0,0,0,-4000,357,2
0,-1,0,1,-1,0,0,-10000,357,7
0,0,-60,-1,1,5,0,0,357,1
1,0,60,0,-1,-5,80,4000,358,9
1,1,100,0,1,0,-200,0,358,16
1,1,-60,0,-1,0,0,6000,358,10
1,1,0,1,-1,5,0,-6000,358,11
0,0,-40,-1,1,-5,0,-4000,358,13
0,1,0,-1,0,0,-200,0,358,15
0,0,-60,-1,1,-5,0,4000,358,14
1,0,60,1,0,0,120,0,358,12
1,1,100,0,1,0,-200,0,359,16
0,0,60,1,0,0,120,0,359,12
0,1,0,-1,0,0,-200,0,359,15
0,1,0,1,-1,5,0,-6000,359,11
0,1,-60,0,-1,0,0,6000,359,10
1,0,-40,-1,1,-5,0,-4000,359,13
0,0,60,0,-1,-5,80,4000,359,9
