"","Policy_1","Policy_2","Policy_3","Policy_4","Policy_5","Effective_1","Effective_2","Effective_3","Effective_4","Effective_5","Condition","AgeGrp","Gender","SES","Education","Ethnic","BMI","Political","Government_Trust","Situation","Disposition","Help","OWght_Envir","OWght_Willpower","weights"
"874",1,0,1,1,1,-1,-3,-1,-1,0,"Conscious","[50,65[","Female","C1C2","3","White",24.9767601072113,6,0,0,1,1,2,2,0.00119895453448718
"875",-3,0,-3,-3,3,-3,0,-3,-3,1,"Conscious","[50,65[","Female","C1C2","4","White",30.30470775567,4,-3,-2,2.5,-2,-3,3,0.00119895453448718
"876",3,3,3,0,3,0,0,0,0,0,"Conscious","[65,Inf[","Male","C1C2","2","White",23.5647626024361,5,-1,0,3,-3,1,3,0.00112802672978903
"877",-0.666666666666667,0.666666666666667,0,1,0.333333333333333,-2,-1,-2,0,-2,"Conscious","[50,65[","Male","C1C2","2","White",21.0920765106836,4,-2,2,3,-3,-1,-3,0.00104302967056405
"878",1,0,1,-0.666666666666667,0.666666666666667,0,-3,-1,-2,-2,"Conscious","[40,50[","Female","C1C2","3","White",26.8863618372398,4,0,-1.5,1,1,2,2,0.00120436630871786
"879",0,0,-2,-2.33333333333333,1,-2,-3,-3,-3,-3,"Conscious","[50,65[","Male","C1C2","2","White",22.5030804300363,5,-2,-2,2,-3,1,3,0.00104302967056405
"880",1,0,1,-1.66666666666667,1.33333333333333,2,1,-2,2,1,"Conscious","[40,50[","Female","C1C2","3","White",27.0692622030405,4,-2,-1,1,3,1,3,0.00120436630871786
"881",0,-2,2.66666666666667,0.666666666666667,1,0,-3,1,1,1,"Conscious","[50,65[","Female","C1C2","4","White",26.3938808048944,4,0,0,1.5,0,2,1,0.00119895453448718
"882",-3,-3,3,-3,3,-1,-3,-3,-1,0,"Conscious","[30,40[","Female","C1C2","3","White",23.4930679262116,4,-2,1,2,1,0,3,0.00124581053553281
"883",2.66666666666667,3,2,-1.33333333333333,1.66666666666667,0,0,0,0,1,"Conscious","[50,65[","Male","C1C2","1","White",21.4784092531883,4,-3,0,0,0,-2,1,0.00104302967056405
"884",0,0,0.333333333333333,-2,2,0,0,0,-2,1,"Conscious","[50,65[","Male","C1C2","4","White",22.4155397847569,3,-2,0,1,1,2,2,0.00104302967056405
"885",0.666666666666667,0,0.333333333333333,-1.33333333333333,3,1,-3,-1,-3,2,"Conscious","[50,65[","Male","C1C2","2","White",23.4153678731233,4,1,-1,2,0,2,1,0.00104302967056405
"886",2,1,-0.333333333333333,1,1,2,2,-1,1,0,"Conscious","[40,50[","Female","C1C2","3","White",27.4636413774781,3,-2,1,2,-3,1,-1,0.00120436630871786
"887",0,0,0,0,0,0,0,0,0,0,"Conscious","[50,65[","Male","C1C2","4","White",25.9857998366134,4,0,0,0,0,1,0,0.00104302967056405
"888",1.66666666666667,1,1.33333333333333,1.66666666666667,1.66666666666667,0,0,1,0,0,"Conscious","[50,65[","Female","C1C2","3","White",30.6093020947128,4,-1,1,1,2,1,1,0.00119895453448718
"889",3,2,3,-3,3,1,-3,1,-3,2,"Conscious","[40,50[","Male","C1C2","2","White",25.0878936230191,4,-1,1,1,1,0,-1,0.00134987712579463
"890",1.66666666666667,0.333333333333333,1.33333333333333,1,3,1,-2,0,0,1,"Conscious","[50,65[","Female","C1C2","4","White",25.3515413737155,5,0,0,2,-1,1,1,0.00119895453448718
"891",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,"Conscious","[50,65[","Male","C1C2","4","White",24.1052306594409,7,-3,0,3,-3,-1,3,0.00104302967056405
"892",1,1,1,1.33333333333333,2,1,1,1,1,2,"Conscious","[50,65[","Male","C1C2","2","White",24.8089960578157,4,-1,1,1,1,1,1,0.00104302967056405
"893",3,-3,2.33333333333333,3,3,2,-3,1,2,2,"Conscious","[65,Inf[","Female","C1C2",NA,"White",27.277020026951,5,-2,2,2,2,3,1,0.00236646196989864
"894",3,3,3,3,3,3,1,3,3,2,"Conscious","[65,Inf[","Male","C1C2",NA,"White",24.3921976007217,6,1,1,1,0,3,0,0.00112802672978903
"895",-1,-3,-3,-3,0,-3,-3,-3,-3,0,"Conscious","[40,50[","Female","C1C2","1","White",28.455582780988,7,-3,0,1,-3,-3,-3,0.00120436630871786
"896",1,1.66666666666667,1,0.666666666666667,2,0,0,0,0,1,"Conscious","[40,50[","Male","C1C2","4","White",24.26781278875,6,2,-3,3,0,1,1,0.00134987712579463
"897",0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,1,-2,-2,-2,-2,0,"Conscious","[40,50[","Female","C1C2","4","White",33.4434967176841,5,-3,0,0,-2,1,3,0.00120436630871786
"898",-0.666666666666667,1,0,0.666666666666667,2.33333333333333,-1,1,-2,-1,1,"Conscious","[40,50[","Male","C1C2","1","White",22.7858381209823,4,-1,2,1,1,1,0,0.00134987712579463
"899",3,-0.333333333333333,1,-2,1.33333333333333,1,-2,-1,-2,1,"Conscious","[40,50[","Female","C1C2","1","White",28.7296419404593,6,0,-1,2,-2,3,1,0.00120436630871786
"900",-3,-3,-3,-3,0,-3,-3,-3,-3,0,"Conscious","[40,50[","Female","C1C2","2","White",31.530944896105,4,-3,1,0,0,-1,1,0.00120436630871786
"901",-1.33333333333333,-2,0.333333333333333,2,2.33333333333333,-2,-3,-2,2,1,"Conscious","[40,50[","Male","C1C2","3","White",26.4333940976221,5,-2,-2,3,0,1,3,0.00134987712579463
"902",-1.33333333333333,0.333333333333333,-2,-2,2.33333333333333,-2,0,-3,-1,1,"Conscious","[30,40[","Male","C1C2","3","White",26.113999881061,5,-2,-1,1,-2,2,3,0.00160048611498008
"903",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,"Conscious","[50,65[","Male","C1C2","2","White",26.876412395967,4,-3,0.5,3,-2,1,3,0.00104302967056405
"904",-0.666666666666667,-3,0,-3,0.666666666666667,-2,-3,-2,-3,0,"Conscious","[50,65[","Female","C1C2","3","White",33.2878770596251,3,-1,0,1,-3,1,1,0.00119895453448718
