"","Policy_1","Policy_2","Policy_3","Policy_4","Policy_5","Effective_1","Effective_2","Effective_3","Effective_4","Effective_5","Condition","AgeGrp","Gender","IncomeGrp","Education","Ethnic","Race","BMI","Political","Government_Trust","Situation","Disposition","Help","OWght_Envir","OWght_Willpower","weights"
"925",2.66666666666667,3,-0.333333333333333,3,2.66666666666667,1,0,-1,1,3,"Conscious","[18,25[","Male","[0,25K[","high","Other","White",20.8051032428595,2,-1,0.5,2.5,3,2,3,0.000473252420511348
"926",0,0,3,-3,3,-1,-3,1,2,1,"Control","[30,40[","Male","[25K,50K[","mid","Other","White",20.8008581697637,6,-3,-3,3,-1,3,3,0.000361968520790085
"927",1,-1.33333333333333,-1,-1.33333333333333,1.66666666666667,-2,-2,-3,1,-2,"Conscious","[25,30[","Male","[25K,50K[","high","Other","Other",20.8008581697637,2,0,1,2,-1,2,1,0.000198865381801526
"928",0,-1,1,1,2,0,-1,1,1,2,"Conscious","[25,30[","Male","[0,25K[","mid","Latino","Other",20.6741568702629,3,0,0,1.5,1,2,2,0.000270127263179463
"929",2,0.666666666666667,2,-1.33333333333333,2.66666666666667,2,0,1,-2,2,"Control","[40,Inf[","Female","[50K,Inf[","high","Other","Other",20.6738936979767,3,1,-1,2,0,2,2,0.00264506349809989
"930",1,3,3,2,3,-3,-2,-2,-1,-1,"Non-Conscious","[18,25[","Female","[50K,Inf[","high","Other","White",20.6738936979767,2,0,0,1,1,2,1,0.00104962564055752
"931",0,-2,2,1,2,0,-2,3,1,2,"Conscious","[40,Inf[","Female","[50K,Inf[","high","Other","White",20.6738936979767,4,0,0,2,2,2,2,0.00264506349809989
"932",2,-1,1,3,-1,-1,-3,-2,1,-3,"Conscious","[30,40[","Female","[50K,Inf[","high","Other","White",20.6677413354827,7,-3,-1,3,2,3,3,0.000683058388810492
"933",3,3,3,3,3,3,3,3,3,3,"Control","[18,25[","Male","[50K,Inf[","high","Latino","Other",20.6595116587846,1,-3,0,0,-3,3,3,0.000599341322439205
"934",1,1,1,-2.66666666666667,0.666666666666667,1,0,0,1,1,"Conscious","[25,30[","Male","[50K,Inf[","mid","Latino","White",20.6344513044056,4,-2,1,1,1,1,1,0.000342097418045811
"935",0,3,3,-2,3,0,0,-1,-1,1,"Non-Conscious","[25,30[","Female","[50K,Inf[","high","Other","White",20.5977247891996,2,-1,-1,3,1,3,1,0.000518487673694042
"936",1,2.33333333333333,2.66666666666667,2,3,2,1,0,3,2,"Non-Conscious","[18,25[","Female","[0,25K[","mid","Other","White",20.5977247891996,2,-1,0,1,2,2,0,0.000828806318581525
"937",1.33333333333333,1.33333333333333,1.33333333333333,1,3,-1,2,1,3,2,"Non-Conscious","[18,25[","Male","[0,25K[","mid","Other","Other",20.5977247891996,3,-1,1,1,-2,2,2,0.000473252420511348
"938",1.33333333333333,1.66666666666667,1.33333333333333,3,1.66666666666667,-3,-1,-1,3,-2,"Conscious","[30,40[","Female","[25K,50K[","high","Latino","White",20.5977247891996,6,-2,-2.5,2.5,2,1,3,0.000397070133003293
"939",2.33333333333333,2.33333333333333,2.66666666666667,-0.666666666666667,3,1,1,1,0,2,"Non-Conscious","[25,30[","Female","[50K,Inf[","mid","Latino","White",20.5482501164045,2,1,1,2,-2,1,1,0.000518487673694042
"940",-0.333333333333333,1.33333333333333,1.33333333333333,1,1.33333333333333,-2,0,0,1,1,"Conscious","[18,25[","Female","[0,25K[","mid","Other","Other",20.5482501164045,2,-1,0,2,-1,2,1,0.000828806318581525
"941",-3,-3,-3,-3,-1.66666666666667,1,0,-2,1,0,"Control","[40,Inf[","Male","[0,25K[","high","Other","White",20.5425567900077,7,-3,-1.5,3,-3,-2,3,0.00254935003686576
"942",-1.66666666666667,0,0.666666666666667,0.666666666666667,2.66666666666667,-1,-1,0,1,2,"Conscious","[18,25[","Male","[0,25K[","high","Other","White",20.5425567900077,2,-1,0.5,-0.5,-1,2,0,0.000473252420511348
"943",1.66666666666667,1.66666666666667,3,2.66666666666667,3,-1,-2,1,1,2,"Control","[30,40[","Female","[50K,Inf[","high","Other","White",20.5264523850847,2,1,-1.5,2,-2,1,1,0.000683058388810492
"944",3,2.33333333333333,3,-1.66666666666667,2.66666666666667,2,1,1,0,1,"Control","[30,40[","Female","[25K,50K[","high","Other","White",20.5264523850847,2,-2,1,2,-2,2,2,0.000397070133003293
"945",-1,-2,-1,1,3,-3,-3,-3,2,3,"Control","[25,30[","Male","[25K,50K[","mid","Other","White",20.5264523850847,3,-3,-1,2,-1,2,1,0.000198865381801526
"946",-2,0.333333333333333,1.33333333333333,1,3,-3,-2,-1,1,2,"Conscious","[25,30[","Male","[25K,50K[","high","Other","White",20.5264523850847,3,-1,-1,1,-2,2,1,0.000198865381801526
"947",2,2,2,2,2,1,-2,-1,2,-2,"Control","[30,40[","Female","[50K,Inf[","high","Other","Other",20.506179345692,4,-1,-1,2,2,2,1,0.000683058388810492
"948",1.33333333333333,0,0,-3,2,2,-3,-2,0,2,"Control","[25,30[","Female","[25K,50K[","high","Other","Other",20.506179345692,4,0,0,2,1,1,2,0.00030140317859617
"949",2.66666666666667,2,1,0,1.66666666666667,1,1,-2,-2,0,"Non-Conscious","[18,25[","Female","[50K,Inf[","mid","Other","White",20.4981092239503,2,1,1,2,2,1,1,0.00104962564055752
"950",-0.333333333333333,1.33333333333333,1.66666666666667,0.666666666666667,1.33333333333333,2,1,0,1,1,"Control","[25,30[","Male","[25K,50K[","high","Other","White",20.4495582569698,2,1,1,1,1,-2,2,0.000198865381801526
"951",-2.66666666666667,1,1.33333333333333,-3,2.33333333333333,1,2,1,1,2,"Non-Conscious","[18,25[","Male","[50K,Inf[","high","Other","White",20.4495582569698,6,-2,1,3,-3,1,-1,0.000599341322439205
"952",2,1.33333333333333,2,3,3,1,0,2,3,3,"Conscious","[25,30[","Female","[25K,50K[","low","Other","White",20.3746528309383,6,-1,1,2,1,3,1,0.00030140317859617
"953",2.33333333333333,0,0.333333333333333,1.33333333333333,1,0,-2,-3,-2,-1,"Control","[25,30[","Female","[50K,Inf[","high","Other","Other",20.360652884371,3,-1,1,1.5,1,-1,2,0.000518487673694042
"954",3,2.33333333333333,3,2,3,2,0,2,3,3,"Control","[25,30[","Male","[25K,50K[","high","Other","Other",20.360652884371,1,-2,1,1,1,1,0,0.000198865381801526
"955",3,3,3,3,3,2,-1,1,2,1,"Control","[18,25[","Male","[25K,50K[","mid","Other","White",20.360652884371,2,0,1,1,0,1,1,0.000348404386087307
"956",2,1,0.666666666666667,3,2.33333333333333,2,-2,-2,1,2,"Control","[18,25[","Female","[50K,Inf[","high","Other","White",20.360652884371,5,-1,-1.5,0,-2,1,2,0.00104962564055752
"957",-0.666666666666667,0,1.66666666666667,-2.66666666666667,3,1,-3,1,2,3,"Control","[40,Inf[","Female","[50K,Inf[","high","Other","White",20.360652884371,2,1,1,2,-3,-2,2,0.00264506349809989
"958",-1,3,3,-3,3,1,-1,-1,3,2,"Control","[25,30[","Female","[25K,50K[","mid","Other","White",20.360652884371,4,2,1,-1,2,1,-1,0.00030140317859617
"959",-2.66666666666667,3,1.66666666666667,-3,2.33333333333333,-1,1,1,1,1,"Non-Conscious","[40,Inf[","Female","[25K,50K[","mid","Other","Other",20.360652884371,5,1,-2,1,1,1,2,0.00153760751964656
"960",-2,1.33333333333333,1.33333333333333,-2,1.66666666666667,-2,-2,0,-2,1,"Non-Conscious","[25,30[","Male","[0,25K[","high","Other","White",20.360652884371,7,-3,0,1,0,1,-1,0.000270127263179463
"961",0,0,1,-2,2,-1,-2,-1,-2,1,"Non-Conscious","[30,40[","Male","[50K,Inf[","low","Other","Other",20.360652884371,5,-2,-0.5,1.5,-2,-2,1,0.000622674973665024
"962",-3,0,1.33333333333333,-0.666666666666667,2,-3,-2,1,0,2,"Non-Conscious","[18,25[","Male","[50K,Inf[","high","Other","White",20.360652884371,3,-3,-1,0,-1,-1,1,0.000599341322439205
"963",-0.666666666666667,-0.333333333333333,-1.33333333333333,2,2,1,-2,-2,2,1,"Non-Conscious","[25,30[","Female","[0,25K[","high","Other","White",20.360652884371,1,-1,1,0,-3,1,0,0.000409408691498814
"964",3,3,3,2,3,3,3,3,3,3,"Conscious","[30,40[","Male","[50K,Inf[","high","Other","Other",20.360652884371,4,3,3,3,3,2,2,0.000622674973665024
"965",1,-3,0,1,2,1,-3,-1,1,1,"Conscious","[30,40[","Female","[25K,50K[","high","Other","White",20.360652884371,7,-3,-1,2,1,2,2,0.000397070133003293
"966",-1,3,3,-3,2.66666666666667,-3,1,3,-3,1,"Non-Conscious","[18,25[","Male","[0,25K[","mid","Other","White",20.3434318905675,1,-3,1,1,0,3,-3,0.000473252420511348
"967",-1,1,0.333333333333333,-2.33333333333333,0.333333333333333,0,2,0,1,1,"Non-Conscious","[25,30[","Male","[50K,Inf[","mid","Other","White",20.3434318905675,5,0,1,2,0,1,1,0.000342097418045811
"968",2,0.333333333333333,1,1.66666666666667,3,1,-3,-3,-1,1,"Non-Conscious","[18,25[","Male","[50K,Inf[","high","Other","White",20.3434318905675,5,-1,0.5,1.5,-2,-1,2,0.000599341322439205
"969",1.66666666666667,2,1.66666666666667,2.33333333333333,1.33333333333333,1,1,0,1,-2,"Non-Conscious","[18,25[","Female","[25K,50K[","high","Other","White",20.3016375736893,2,0,1,2,1,2,1,0.000610160126172568
"970",3,1.33333333333333,3,-2,2.33333333333333,2,-2,-1,1,0,"Non-Conscious","[30,40[","Female","[0,25K[","high","Other","White",20.2544293760463,6,-1,-0.5,2,-2,1,1,0.000539357163860392
"971",-0.333333333333333,-1.66666666666667,3,-0.666666666666667,1.66666666666667,-1,-3,-2,1,-2,"Non-Conscious","[30,40[","Male","[25K,50K[","mid","Other","White",20.2231711743725,2,-3,-2,2,1,1,2,0.000361968520790085
"972",-0.666666666666667,2.33333333333333,2,2,3,-2,1,1,2,3,"Conscious","[25,30[","Male","[25K,50K[","high","Other","Other",20.2231711743725,2,1,1,3,2,-1,2,0.000198865381801526
"973",-0.666666666666667,2,2,-0.333333333333333,3,-2,0,1,1,2,"Conscious","[25,30[","Male","[50K,Inf[","low","Other","White",20.2231711743725,2,-1,1,2,-2,2,1,0.000342097418045811
"974",1,-3,-1,3,2.33333333333333,0,-3,-2,3,2,"Control","[30,40[","Male","[25K,50K[","low","Other","White",20.2223567941946,4,1,0,2,-3,3,1,0.000361968520790085
"975",3,3,3,3,3,0,1,1,2,2,"Non-Conscious","[30,40[","Female","[50K,Inf[","mid","Other","White",20.1973285302503,1,-1,-2,2,-3,1,2,0.000683058388810492
"976",-3,1,3,-2,0.333333333333333,-2,0,2,-2,1,"Non-Conscious","[40,Inf[","Female","[50K,Inf[","low","Other","White",20.1939699419837,3,-2,0,1,-3,1,3,0.00264506349809989
"977",-1.33333333333333,1,1.33333333333333,-3,1.33333333333333,-1,-3,-1,-2,0,"Control","[25,30[","Female","[25K,50K[","low","Other","White",20.1190402380805,6,-2,-2,2,-2,1,3,0.00030140317859617
"978",-3,0,0.666666666666667,-2.66666666666667,-3,-3,-3,-3,-3,-3,"Control","[18,25[","Female","[25K,50K[","mid","Latino","White",20.1190402380805,4,-1,-1.5,2.5,-1,1,2,0.000610160126172568
"979",1,-1.66666666666667,1,-3,1,-1,-3,-2,-2,-1,"Conscious","[25,30[","Female","[50K,Inf[","high","Other","White",20.1190402380805,7,-3,-1.5,3,1,3,2,0.000518487673694042
"980",0.666666666666667,-2.33333333333333,-2,-2,2,1,-2,0,-1,1,"Control","[30,40[","Male","[25K,50K[","high","Latino","Other",20.0876858896575,2,-1,1.5,1.5,-1,2,-1,0.000361968520790085
"981",1,1,1.66666666666667,-1.66666666666667,2,1,1,1,-1,2,"Conscious","[18,25[","Male",NA,"mid","Other","Other",20.0876858896575,3,-2,1,1.5,0,2,-1,0
"982",-1,0.666666666666667,3,-0.666666666666667,3,-3,-1,3,-2,3,"Conscious","[18,25[","Male","[0,25K[","high","Other","White",20.0834666739697,3,0,2,1,-1,-1,0,0.000473252420511348
"983",3,2,3,3,3,2,1,-1,3,3,"Conscious","[40,Inf[","Female","[50K,Inf[","high","Other","Other",20.0283027816795,5,-2,1,2,-3,2,1,0.00264506349809989
"984",3,1,2,3,2.33333333333333,-1,-2,-1,2,1,"Conscious","[40,Inf[","Female","[0,25K[","high","Other","White",20.0168298547733,2,-3,1,2,-2,2,1,0.0020885973584926
"985",1.33333333333333,0,0,-2.33333333333333,3,-2,-1,-3,-3,1,"Non-Conscious","[18,25[","Female","[0,25K[","mid","Other","Other",19.9953552449478,4,-1,0.5,0,-1,3,-2,0.000828806318581525
"986",-1,1.66666666666667,2.33333333333333,1.33333333333333,3,-2,0,0,1,1,"Non-Conscious","[25,30[","Female","[50K,Inf[","high","Other","White",19.9688238429731,2,-1,1,-1,1,2,1,0.000518487673694042
"987",-1.33333333333333,2.66666666666667,1.66666666666667,-0.333333333333333,2.33333333333333,-3,1,0,-2,1,"Conscious","[18,25[","Male","[0,25K[","mid","Other","Other",19.9688238429731,3,1,2,2,2,2,-1,0.000473252420511348
"988",3,3,3,3,3,2,1,1,2,2,"Control","[40,Inf[","Female","[0,25K[","low","Other","White",19.9202885072437,3,0,-3,3,2,3,3,0.0020885973584926
"989",-3,-3,-3,-3,1,-3,-3,-3,-2,-3,"Non-Conscious","[18,25[","Male","[0,25K[","mid","Other","White",19.8907916639625,1,-1,2,2.5,-3,2,2,0.000473252420511348
"990",-1.33333333333333,-0.666666666666667,-1.33333333333333,-3,-0.666666666666667,-3,-3,-3,-2,-3,"Non-Conscious","[18,25[","Female","[25K,50K[","low","Other","White",19.8524994846133,4,-3,-1,3,-2,-3,3,0.000610160126172568
"991",1,0.666666666666667,1,-3,3,1,0,0,1,1,"Control","[30,40[","Female","[25K,50K[","mid","Other","White",19.839689767563,6,-2,1,2,1,1,1,0.000397070133003293
"992",-3,-3,-3,-3,2,-1,-1,-1,-1,1,"Control","[40,Inf[","Female","[50K,Inf[","high","Other","White",19.839689767563,4,-1,-2,2,-1,-2,1,0.00264506349809989
"993",3,3,3,3,3,2,1,2,3,3,"Non-Conscious","[25,30[","Female","[0,25K[","mid","Other","White",19.839689767563,3,-3,2,1.5,2,3,1,0.000409408691498814
