Res_ID	sur_point	date	FDA	sex	age	m_activity	write_read	schooling	adult	child	crop_income	live_income	off_income	other_income	land_farm	land_graze	L_quality	CL_access	env_mgt	type_mgt1	labour_fam1	labour_hire1	wage1	other_exp1	type_mgt2	labour_fam2	labour_hire2	wage2	other_exp2	mgt_type3	labour_fam3	labour_hire3	wage3	other_exp3	mgt_type4	labour_fam4	labour_hire4	wage4	other_exp4	mgt_type5	labour_fam5	labour_hire5	wage5	other_exp5	mgt_type6	labour_fam6	labour_hire6	wage6	other_exp6	No_reason1	No_reason2	No_reason3	livestock	ox	ox_value	cow	cow_value	horse	horse_value	calve	calve_value	donkey	donk_value	sheep	sheep_value	goat	goat_value	camel	camel_value	chicken	chick_value	pig	pig_value	rabbit	rabbit_value	far_union	prod_org	MKEPP	agro_forest	other_env	fina_access	mkt_access	env_info	debit	land_area	year	harvest_right	reward	local_admin	free_labour	Rating	LandArea20precent	LandArea40percent	CommitPeriod15yrs	CommitPeriod30yrs	HarvestNotPermitted	HarvestPartial	RewardExtensionFee	RewardElectricity	RewardCash	LocalAdminFDAC	LocalAdminCFA	FreeLabour2dys	FreeLabour3dys
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"10%"	30	"partial"	"cash"	"FDAC"	2	1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"40%"	5	" not permitted"	"water"	"WRUA"	3	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"40%"	15	"partial"	"electricity"	"CFA"	1	1	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"20%"	15	"permitted"	"cash"	"CFA"	2	3	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"10%"	5	"partial"	"water"	"WRUA"	3	4	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"40%"	15	"permitted"	"water"	"CFA"	2	2	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"MU12"	7	13	"Mutathari"	2	70	10	2	22	6	4	10000	0	0	0	2.5	0.5	3.0	2	2																															2			2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	"20%"	5	"permitted"	"extension"	"FDAC"	3	4	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	15	"partial"	"extension"	"WRUA"	2	3	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"10%"	5	" not permitted"	"water"	"WRUA"	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"10%"	30	"permitted"	"water"	"WRUA"	3	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"40%"	30	"partial"	"extension"	"FDAC"	1	1	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"40%"	5	"not permitted"	"electricity"	"WRUA"	1	1	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	15	"permitted"	"electricity"	"CFA"	1	2	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	5	" partial"	"water"	"CFA"	2	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"10%"	15	"permitted"	"cash"	"FDAC"	3	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
"MU19"	10	13	"Muthatari"	2	45	12	1	23	4	1	15000	5000	0	0	1.0	1.0	2.0	2	1	1	0	"10"	2000	0	2	0	0	0	100000	6	0	"0"	1000	3000																			1	2	20000	0	0	0	0	0	0	0	0	0	0	2	4000	0	0	10	2000	0	0	0	0	2	2	2	2	2	1	2	2	1	"20%"	30	"not permitted"	"cash"	"FDAC"	3	3	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0
"Mu17"	9	13	"Mutathari"	1	64	10	1	22	6	3	20000	15000	55000	48000	2.5	1.0	2.0	2	1	1	30	"0"	0	0	6	7	0	0	18000	2	0	"0"	0	12500																			1	0	0	2	30000	0	0	1	5000	0	0	0	0	8	80000	0	0	20	8000	0	0	0	0	1	2	1	2	2	1	2	1	1	"10%"	5	"permitted"	"electricity"	"CFA"	1	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
"Mu17"	9	13	"Mutathari"	1	64	10	1	22	6	3	20000	15000	55000	48000	2.5	1.0	2.0	2	1	1	30	"0"	0	0	6	7	0	0	18000	2	0	"0"	0	12500																			1	0	0	2	30000	0	0	1	5000	0	0	0	0	8	80000	0	0	20	8000	0	0	0	0	1	2	1	2	2	1	2	1	1	"10%"	15	"partial"	"extension"	"WRUA"	3	3	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
