year	fips_state	s_black	SenElection	presyear	college	college_diff	pci_0000	prior_ue	partyspending	priorue_diff	spending_diff	share_open	share_qual_out2	open_all_share	quality_share_new	outparty_spend	share_open_diff	open_all_share_diff	share_qual_out2_diff	quality_share_diff	outparty_spend_diff	s_black_diff	pci0000_diff	senelec_diff	incparty	GubElection	vep	uerate
1980	19	0.012000000104308128	1	1.0	0.15413737	0.10233177	2.5013292	4.4	0.029242435			0.0	0.6666667	0.0	0.6	0.029242435				0.26666668	0.029242435	0.0	0.008041143	1.0		0	0.64	0.056999996
1980	20	0.04699999839067459	1	1.0	0.15720524	0.09272996	2.5969613	3.1	2.6367843E-4			0.0	0.0	0.2	0.25	2.6367843E-4				0.049999997	2.6367843E-4	0.0	0.05831313	1.0		0	0.57	0.045
1980	21	0.07199999690055847	1	1.0	0.113279134	0.072058536	2.1197937	5.7	0.042824864			0.0	0.0	0.0	0.16666667	0.025490992				-0.11904763	0.025490992	0.0	0.056972027	1.0		0	0.51	0.081
1980	22	0.2980000078678131	1	1.0	0.1164342	0.0649623	2.2907295	6.4	0.0128423			0.16666667	0.0	0.0	0.0	0.008288293				-0.125	0.008288293	0.0	0.1932075	1.0		0	0.54	0.069
1980	23	0.003000000026077032	0	1.0	0.102494575	0.055021163	2.1773295	6.5	0.063382946					0.0	0.5	0.0503143				0.0	0.0503143	0.0	0.02348566	-1.0		0	0.65	0.074
1980	24	0.17800000309944153	1	1.0	0.2016129	0.122430846	2.9170415	5.8	0.02159449			0.0	0.33333334	0.0	0.375	0.003967774				-0.125	0.003967774	0.0	0.06918955	0.0		0	0.52	0.066
1980	25	0.03099999949336052	0	1.0	0.18088597	0.10955709	2.7618353	5.5	0.0			0.1	0.0	0.083333336	0.09090909	0.0				-0.07575758	0.0	0.0	0.1184814	-1.0		0	0.61	0.056999996
1980	26	0.1120000034570694	0	1.0	0.12479201	0.07120229	2.6889353	7.9	0.035957858			0.15384616	0.09090909	0.0	0.11764706	0.035957858				-0.250774	0.035957858	0.0	0.008159399	-1.0		0	0.61	0.12100001
1980	27	0.008999999612569809	0	1.0	0.15066965	0.08751672	2.6727355	4.3	0.01729148			0.25	0.0	0.0	0.14285715	0.01729148				-0.23214285	0.01729148	0.0	0.13068557	-1.0		0	0.71	0.059
1980	28	0.3709999918937683	0	1.0	0.12938596	0.08331365	1.8303366	5.7	0.09287633			0.0	0.0	0.0	0.0	0.016214069				-0.2	0.016214069	0.0	0.036348462	-1.0		0	0.52	0.077
1980	29	0.10300000011920929	1	1.0	0.13011695	0.07920395	2.4313557	4.7	0.029708458			0.125	0.14285715	0.0	0.22222222	0.023230786				0.12222222	0.023230786	0.0	0.045457363	0.0		1	0.59	0.073
1980	30	0.003000000026077032	0	1.0	0.15040651	0.08809848	2.3615391	5.4	0.0			0.0	1.0	0.0	0.5	0.0				0.0	0.0	0.0	0.017183065	-1.0		1	0.66	0.063
1980	31	0.027000000700354576	0	1.0	0.14635679	0.09121023	2.3921099	2.8	0.017507715			1.0		0.33333334	0.0	0.017507715				0.0	0.017507715	0.0	-0.044100046	-1.0		0	0.57	0.039
1980	32	0.05700000002980232	1	1.0	0.14271306	0.080551185	3.051606	5.1	0.0			0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.12928796	0.0		0	0.43	0.065
