age	educ	income	fips_state	black	other	hisp	female	married	republican	democrat	unemployed	incomedk	partyvote	uerate	totalspend_voter_inf
68.0	2	2	42	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
73.0	2	2	42	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
23.0	3	3	42	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.069	1.2139608
18.0	2	3	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.069	1.2139608
57.0	2	2	26	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.071	1.7937663
38.0	3	4	26	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.071	1.7937663
27.0	3	4	27	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.04	2.3343043
22.0	2	1	27	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	3.0	0.04	2.3343043
26.0	3	1	9	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.053000003	1.812191
18.0	2	3	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.069	1.2139608
18.0	2	3	13	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.056999996	0.2540245
55.0	1	2	12	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
26.0	2	3	36	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.078	2.3452868
59.0	2	2	36	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.078	2.3452868
58.0	1	4	12	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	3.0	0.068	2.1497788
64.0	1	1	42	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.069	1.2139608
60.0	2	3	42	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.069	1.2139608
23.0	2	1	12	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	0.068	2.1497788
34.0	2	3	42	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.069	1.2139608
26.0	2	1	9	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	3.0	0.053000003	1.812191
58.0	2	3	42	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.069	1.2139608
25.0	4	3	17	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	3.0	0.06	1.37532
